Code,LA_name,Bed based intermediate Care Services,Reablement in a persons own home,LA_code.x,area_code,region_code,region_name,metric,value,date,over_65_pop.x,reablement_BCF_percapita,reablement_BCF_per65s,LA_code.y,episodes_over65,over_65_pop.y,population,per_cap
E09000020,Kensington and Chelsea,275797,4177923,E09000020,707,E12000007,London,Population,121108,2023-03-31,20797,34.49749810086865,200.89065730634226,E09000020,660,20797,121108,31.735346444198683
E09000021,Kingston upon Thames,1793818,69867,E09000021,729,E12000007,London,Population,131424,2023-03-31,24507,0.5316152300949598,2.8508997429305913,E09000021,570,24507,131424,23.25866079079447
E09000022,Lambeth,10838576,3250919,E09000022,708,E12000007,London,Population,263220,2023-03-31,27507,12.350577463718562,118.1851528701785,E09000022,575,27507,263220,20.903769949467407
E09000023,Lewisham,NA,NA,E09000023,709,E12000007,London,Population,235409,2023-03-31,28846,NA,NA,E09000023,1160,28846,235409,40.2135478055883
E09000024,Merton,2968811,2042000,E09000024,730,E12000007,London,Population,168352,2023-03-31,27280,12.129348032693404,74.8533724340176,E09000024,475,27280,168352,17.412023460410555
E09000025,Newham,NA,1059000,E09000025,731,E12000007,London,Population,266942,2023-03-31,25468,3.9671539135842244,41.581592586775564,E09000025,550,25468,266942,21.595727972357466
E09000026,Redbridge,NA,1441165,E09000026,732,E12000007,London,Population,233571,2023-03-31,38146,6.170136703614746,37.780239081424,E09000026,790,38146,233571,20.709904052849577
E09000027,Richmond upon Thames,NA,776431,E09000027,733,E12000007,London,Population,151411,2023-03-31,31644,5.127969566279861,24.53643660725572,E09000027,1770,31644,151411,55.9347743648085
E09000028,Southwark,NA,348653.7,E09000028,710,E12000007,London,Population,249180,2023-03-31,25997,1.399204189742355,13.4113051505943,E09000028,700,25997,249180,26.926183790437356
E09000029,Sutton,573000,5300000,E09000029,734,E12000007,London,Population,160545,2023-03-31,31864,33.01255099816251,166.33191062013557,E09000029,905,31864,160545,28.401958322872208
E09000030,Tower Hamlets,2425271,2349289,E09000030,711,E12000007,London,Population,248022,2023-03-31,17606,9.472099249260147,133.43683971373395,E09000030,600,17606,248022,34.07929115074407
E09000031,Waltham Forest,1748768,7258793,E09000031,735,E12000007,London,Population,215502,2023-03-31,28584,33.683181594602374,253.94601875174922,E09000031,1135,28584,215502,39.707528687377554
E09000032,Wandsworth,937614,5477182.94,E09000032,712,E12000007,London,Population,268961,2023-03-31,31627,20.36422730433037,173.1806032820059,E09000032,855,31627,268961,27.033863471084832
E09000033,Westminster,2586104,4119402,E09000033,713,E12000007,London,Population,174574,2023-03-31,24991,23.596881551662904,164.83542075147054,E09000033,830,24991,174574,33.211956304269535
